CLUSTER,WEEK,CARRIER,NETWORK,COUNT,AREA,LATITUDE,LONGITUDE,AVG RTT
4,51,att,wifi,70,SFBay,37.843819,-122.23986,33.5128571429
1,51,tmobile,edge,531,SFBay,37.4897104934,-122.1562061959,228.6177024482
2,51,verizonwireless,lte,93,SFBay,37.5771941075,-122.3159634409,47.2537634409
4,51,sprint,evdoa,53,SFBay,37.7759559811,-122.4235384906,98.5150943396
4,51,tmobile,umts,26,SFBay,37.6041326154,-122.3909742308,251.9692307692
3,51,tmobile,hsdpa,67,SFBay,37.8004263433,-122.2180561194,73.647761194
0,51,sprint,evdoa,9,SFBay,37.2889198889,-121.9304333333,85.5222222222
1,51,att,wifi,96,SFBay,37.428432,-122.07238,42.60625
3,51,verizonwireless,lte,102,SFBay,37.7889971275,-122.4288009804,38.118627451
5,53,verizonwireless,lte,14,SFBay,37.356332,-122.01125,35.4714285714
0,53,verizonwireless,lte,77,SFBay,37.8166970779,-122.2209179221,34.6324675325
1,53,tmobile,umts,83,SFBay,37.3705087229,-122.0339451807,216.6144578313
1,52,tmobile,umts,317,SFBay,37.3709835205,-122.0316178864,217.4984227129
0,52,tmobile,umts,58,SFBay,37.6035012759,-122.0490384483,231.3793103448
1,52,tmobile,hsdpa,318,SFBay,37.4998010535,-122.1794989308,129.1443396226
2,52,verizonwireless,lte,358,SFBay,37.5595060279,-122.3024368715,38.0905027933
2,52,tmobile,hsdpa,13,SFBay,37.242287,-121.73094,87.5923076923
2,52,tmobile,umts,63,SFBay,37.7709601111,-122.433462381,196.3587301587
3,52,tmobile,hsdpa,12,SFBay,37.8395875,-122.2390316667,105.1666666667
0,52,tmobile,hsdpa,26,SFBay,37.5817148462,-122.047035,122.6307692308
null,50,,wifi,2,SFBay,37.7962,-122.329135,14.95
5,50,att,wifi,6,SFBay,37.748581,-122.41841,96.3833333333
4,50,sprint,evdoa,572,SFBay,37.7632840927,-122.4257681993,86.8573426573
2,50,sprint,evdoa,194,SFBay,37.554459933,-122.2715318557,71.1051546392
4,50,att,wifi,410,SFBay,37.843333878,-122.2408008049,103.3292682927
2,50,sprint,wifi,351,SFBay,37.3717319288,-122.0212947863,78.5766381766
3,50,tmobile,umts,125,SFBay,37.514486,-122.26359064,216.5608
6,50,sprint,evdoa,65,SFBay,37.3901939385,-121.8960867692,64.4184615385
1,50,verizonwireless,evdoa,494,SFBay,37.3850003988,-122.0471727935,83.2303643725
2,50,verizonwireless,evdoa,165,SFBay,37.7716891939,-122.4110159394,79.1824242424
1,52,sprint,evdoa,449,SFBay,37.4096891069,-122.0847553229,63.9331848552
1,52,tmobile,edge,364,SFBay,37.4627244808,-122.1552096429,226.4038461538
2,52,tmobile,edge,292,SFBay,37.169701,-121.84487,196.9589041096
3,52,tmobile,edge,10,SFBay,37.875155,-122.28694,207.4
5,52,sprint,evdoa,63,SFBay,37.4498261746,-122.4160831746,71.7238095238
4,52,sprint,evdoa,880,SFBay,37.7610054807,-122.427113875,82.2048863636
2,52,tmobile,wifi,363,SFBay,37.4336786474,-122.1311985124,36.4121212121
1,52,verizonwireless,evdoa,220,SFBay,37.3802896591,-122.0405327273,75.3277272727
4,52,verizonwireless,lte,138,SFBay,37.4059027319,-122.088892029,33.3028985507
5,52,verizonwireless,lte,192,SFBay,37.3783940469,-122.0005064063,32.4828125
4,49,verizonwireless,lte,236,SFBay,37.4155964873,-122.0781937712,38.875
1,49,tmobile,hsdpa,292,SFBay,37.4751335171,-122.1639847603,126.0551369863
2,49,sprint,wifi,325,SFBay,37.371861,-122.02123,206.7313846154
5,49,verizonwireless,lte,101,SFBay,37.4234127822,-122.0016461386,54.0435643564
0,49,verizonwireless,lte,35,SFBay,37.7582764571,-122.1424377143,43.9228571429
1,49,verizonwireless,evdoa,899,SFBay,37.3890784383,-122.0572485539,79.616240267
2,49,tmobile,wifi,52,SFBay,37.4409885385,-122.1379732692,61.0307692308
1,49,sprint,evdoa,76,SFBay,37.4145846184,-122.0615360526,63.4986842105
4,49,sprint,evdoa,114,SFBay,37.7588651228,-122.4262348246,88.6078947368
6,49,verizonwireless,lte,15,SFBay,37.5321996,-122.0410386667,44.9266666667
3,49,tmobile,wifi,32,SFBay,37.800694,-121.98144,113.625
4,49,sprint,wifi,114,SFBay,37.554947,-122.27106,63.8131578947
1,49,tmobile,edge,167,SFBay,37.5388281138,-122.248098503,206.628742515
4,49,att,wifi,106,SFBay,37.8428180472,-122.2420006604,116.8254716981
2,49,verizonwireless,lte,28,SFBay,37.579353,-122.31642,56.775
3,49,att,wifi,47,SFBay,37.6299850851,-122.4102880851,163.7191489362
1,49,att,wifi,43,SFBay,37.3925850233,-122.0748323256,86.1681395349
3,49,verizonwireless,lte,4,SFBay,37.7916735,-122.4254875,51.7
3,49,verizonwireless,evdoa,34,SFBay,37.5239198235,-122.2796185294,81.6294117647
7,49,sprint,evdoa,1,SFBay,37.630489,-122.41109,68.7
2,50,att,wifi,140,SFBay,37.502159,-122.20866,49.365
3,50,tmobile,wifi,66,SFBay,37.800694,-121.98144,36.803030303
3,50,att,wifi,70,SFBay,37.630489,-122.41109,74.0014285714
2,50,verizonwireless,wifi,237,SFBay,37.7718062068,-122.4440572574,91.8611814346
3,50,verizonwireless,wifi,93,SFBay,37.630489,-122.41109,220.5978494624
0,50,sprint,evdoa,27,SFBay,37.3051707407,-121.9223144444,76.4518518519
6,50,verizonwireless,lte,145,SFBay,37.529659,-122.04024,50.055862069
5,50,verizonwireless,lte,172,SFBay,37.421024814,-122.0012492442,58.5
null,50,virginmobile,1xrtt,4,SFBay,37.349209,-122.0326,1200
null,50,,evdoa,18,SFBay,37.428432,-122.07238,86.9166666667
6,53,sprint,evdoa,73,SFBay,37.371693,-121.86195,62.9082191781
0,53,sprint,evdoa,79,SFBay,37.7425253924,-122.0523475949,68.8405063291
1,53,tmobile,hsdpa,457,SFBay,37.4648296105,-122.1327392779,163.4754923414
0,53,tmobile,hsdpa,43,SFBay,37.5579646047,-122.0080446512,115.7488372093
4,53,verizonwireless,lte,74,SFBay,37.4000717973,-122.0827906757,37.4864864865
0,53,tmobile,umts,24,SFBay,37.7684165417,-122.1398725,146.1
1,52,tmobile,wifi,20,SFBay,37.3283397,-122.03078,20.535
0,52,verizonwireless,lte,16,SFBay,37.68730875,-122.178599375,35.9
1,52,tmobile,hspa,213,SFBay,37.7625745164,-122.439203615,90.0187793427
2,52,tmobile,hspa,245,SFBay,37.4100088857,-122.0833057143,79.2906122449
null,52,,evdoa,105,SFBay,37.556203419,-122.2922717143,88.2180952381
6,52,sprint,evdoa,17,SFBay,37.3797854706,-121.8934223529,72.0117647059
2,52,verizonwireless,wifi,4,SFBay,37.771717,-122.44389,78
2,52,sprint,evdoa,86,SFBay,37.5543948372,-122.2715111628,69.4720930233
3,52,tmobile,umts,18,SFBay,37.5229250556,-122.2700611111,214.7166666667
5,52,tmobile,wifi,1,SFBay,37.748581,-122.41841,245
2,52,att,edge,66,SFBay,37.4275499697,-122.0752068182,199.9696969697
1,52,sprint,evdo0,339,SFBay,37.7564233274,-122.4196487316,79.8471976401
0,52,tmobile,hspa,37,SFBay,37.5603197297,-122.10629,127.3972972973
0,52,sprint,evdo0,122,SFBay,37.736983918,-122.2284785246,68.518852459
3,52,att,edge,231,SFBay,37.7541279177,-122.4331204762,208.0692640693
1,52,att,wifi,31,SFBay,37.428432,-122.07238,36.3129032258
6,52,verizonwireless,lte,95,SFBay,37.529659,-122.04024,30.1505263158
2,53,sprint,evdo0,173,SFBay,37.4119922775,-122.0770619075,64.4312138728
3,53,tmobile,hspa,165,SFBay,37.242287,-121.73094,80.2157575758
1,53,verizonwireless,ehrpd,293,SFBay,37.5352415188,-122.3051735836,68.6962457338
0,53,sprint,evdo0,88,SFBay,37.4407251818,-122.2807678409,63.35
6,53,verizonwireless,lte,3,SFBay,37.529659,-122.04024,33.7333333333
3,53,verizonwireless,lte,9,SFBay,37.7780761111,-122.4163855556,36.7777777778
2,53,tmobile,hsdpa,53,SFBay,37.242287,-121.73094,200.0905660377
0,53,verizonwireless,ehrpd,39,SFBay,37.5126148205,-122.0950415385,192.4307692308
1,53,tmobile,hspa,160,SFBay,37.7760292875,-122.4510740625,86.6925
4,52,sprint,wifi,102,SFBay,37.554947,-122.27106,16.6343137255
2,52,sprint,evdo0,186,SFBay,37.4270355054,-122.0727421505,65.4946236559
1,51,verizonwireless,evdoa,235,SFBay,37.3863269064,-122.0502810213,71.530212766
3,51,verizonwireless,wifi,106,SFBay,37.630489,-122.41109,175.4650943396
0,51,att,edge,37,SFBay,37.3749302432,-122.0696532432,250.9648648649
2,51,sprint,wifi,235,SFBay,37.3717646085,-122.021278383,30.7834042553
2,51,verizonwireless,wifi,77,SFBay,37.771717,-122.44389,59.7909090909
1,51,att,edge,215,SFBay,37.5032855116,-122.2110221395,208.5023255814
3,51,att,edge,184,SFBay,37.749624837,-122.4306444565,224.652173913
6,51,verizonwireless,lte,63,SFBay,37.529659,-122.04024,44.6904761905
0,51,tmobile,hspa,2,SFBay,37.591324,-122.376635,82.15
2,51,sprint,evdo0,64,SFBay,37.42375425,-122.0737121875,65.784375
2,51,att,edge,135,SFBay,37.4292649111,-122.074442,233.1407407407
0,51,sprint,evdo0,54,SFBay,37.4322415926,-122.0913874074,69.2277777778
6,51,sprint,evdoa,1,SFBay,37.332664,-121.89184,66.6
1,53,verizonwireless,evdoa,332,SFBay,37.3537434006,-122.0121121687,72.811746988
3,53,verizonwireless,evdoa,54,SFBay,37.5340701852,-122.3038072222,72.7611111111
3,53,tmobile,umts,6,SFBay,37.579353,-122.31642,114.7166666667
1,53,sprint,evdo0,3,SFBay,37.752303,-122.4372833333,75.9
2,53,verizonwireless,evdoa,114,SFBay,37.7714125877,-122.4117097368,97.1657894737
3,53,tmobile,hsdpa,66,SFBay,37.8036194242,-122.2204759091,131.146969697
3,53,verizonwireless,ehrpd,60,SFBay,37.39213145,-122.0919455,66.14
0,53,tmobile,hspa,72,SFBay,37.7318473194,-122.2158984722,83.3375
2,53,tmobile,hspa,313,SFBay,37.3419686198,-122.0041184026,97.928115016
4,53,tmobile,umts,25,SFBay,37.598545,-122.38719,194.024
2,53,tmobile,umts,4,SFBay,37.763936,-122.40849,220.475
2,53,att,edge,15,SFBay,37.428432,-122.07238,202.5333333333
2,53,tmobile,wifi,79,SFBay,37.4214397722,-122.1271668354,22.2379746835
1,49,tmobile,umts,194,SFBay,37.3810213351,-122.0342565464,199.7412371134
0,49,verizonwireless,evdoa,79,SFBay,37.8951796835,-122.4970559494,78.0784810127
1,49,att,edge,157,SFBay,37.5021908535,-122.2089903185,199.7261146497
6,49,sprint,evdoa,2,SFBay,37.390297,-121.8961,59.6
4,49,att,edge,332,SFBay,37.8432240783,-122.2408684337,207.7084337349
1,49,tmobile,wifi,13,SFBay,37.3509514615,-122.0317253846,192.8384615385
0,49,sprint,evdoa,5,SFBay,37.6212824,-122.03893,67.4
1,49,att,hsdpa,273,SFBay,37.7910077839,-122.4212985714,132.2655677656
4,49,verizonwireless,ehrpd,121,SFBay,37.529659,-122.04024,68.9223140496
2,49,tmobile,umts,96,SFBay,37.7777347083,-122.4311805208,182.259375
2,49,att,edge,27,SFBay,37.4328228889,-122.0831096296,237.5925925926
2,49,att,hsdpa,13,SFBay,37.428432,-122.07238,116
3,49,att,edge,192,SFBay,37.7016121875,-122.4155615104,207.353125
3,51,verizonwireless,ehrpd,24,SFBay,37.4248415417,-122.092225,65.8125
1,51,att,hsdpa,84,SFBay,37.7889617381,-122.4047817857,124.7619047619
3,51,sprint,wifi,24,SFBay,37.805988,-122.40991,14.2458333333
5,51,verizonwireless,lte,45,SFBay,37.3230774444,-122.0276013333,24.9933333333
3,51,att,hsdpa,208,SFBay,37.4292912308,-121.9508115385,120.2807692308
null,51,,unknown,1,SFBay,37.77264,-122.40991,181
5,51,sprint,evdoa,3,SFBay,37.433735,-122.40142,54.8333333333
1,44,tmobile,hsdpa,21,SFBay,37.4437457143,-122.0927780952,74.4571428571
4,44,tmobile,wifi,1,SFBay,37.502159,-122.20866,234
null,43,,wifi,148,SFBay,37.6379967162,-122.1647710811,81.1405405405
1,43,tmobile,hsdpa,3,SFBay,37.787754,-122.43823,51.2
2,43,tmobile,umts,11,SFBay,37.779731,-122.4305072727,157.6909090909
2,44,tmobile,wifi,270,SFBay,37.4180575333,-122.0759689259,24.9756296296
1,44,tmobile,umts,201,SFBay,37.4243742438,-122.0712327861,126.9084577114
3,44,tmobile,umts,7,SFBay,37.5100548571,-122.2410685714,101
2,42,tmobile,wifi,1,SFBay,37.386772,-122.07523,207
1,42,tmobile,wifi,3,SFBay,37.349209,-122.0326,108.7666666667
1,42,tmobile,hsdpa,1,SFBay,37.428432,-122.07238,97.4
5,44,tmobile,wifi,118,SFBay,37.7882356525,-122.4204130508,224.9262711864
5,43,tmobile,wifi,74,SFBay,37.787754,-122.43823,205.5162162162
1,44,verizonwireless,wifi,35,SFBay,37.428432,-122.07238,159.5997142857
1,44,sprint,evdoa,27,SFBay,37.428432,-122.07238,149.8185185185
null,44,,evdoa,61,SFBay,37.428432,-122.07238,68.3049180328
0,44,sprint,evdoa,1,SFBay,37.755489,-122.14622,69.4
2,44,att,hsdpa,28,SFBay,37.428432,-122.07238,163.3214285714
7,44,sprint,evdoa,4,SFBay,37.653191,-122.41841,51.95
3,44,verizonwireless,wifi,1,SFBay,37.630489,-122.41109,52.6
2,43,tmobile,wifi,14,SFBay,37.4046262857,-122.0740085714,135.1428571429
4,43,verizonwireless,wifi,104,SFBay,37.371861,-122.02123,23.7259615385
1,43,att,wifi,207,SFBay,37.4272267826,-122.0727232367,222.5
null,45,,evdoa,716,SFBay,37.5321250587,-122.1903706564,68.2874301676
1,45,sprint,evdoa,20,SFBay,37.4144448,-122.059877,87.76
1,45,verizonwireless,wifi,196,SFBay,37.4102859643,-122.0950804592,142.431122449
5,45,verizonwireless,wifi,115,SFBay,37.430851,-121.953,28.387826087
2,45,verizonwireless,wifi,157,SFBay,37.7766558662,-122.447036879,76.098089172
0,45,att,hsdpa,32,SFBay,37.5764233125,-122.3006628125,223.71875
4,45,sprint,evdoa,41,SFBay,37.7643626585,-122.4322904878,86.5390243902
6,45,verizonwireless,wifi,37,SFBay,37.3340176216,-121.9515632432,138.4864864865
3,45,verizonwireless,ehrpd,148,SFBay,37.4347310338,-122.1182850676,105.5635135135
7,45,att,wifi,151,SFBay,37.2359373444,-121.9640086093,96.5039735099
3,45,sprint,wifi,109,SFBay,37.747395211,-122.4244994495,188.5614678899
1,45,tmobile,hsdpa,152,SFBay,37.51986125,-122.2107439474,93.5611842105
5,45,att,wifi,377,SFBay,37.7910812069,-122.4154474801,123.2137931034
2,45,sprint,wifi,238,SFBay,37.3659794286,-122.022994916,160.9147058824
4,45,verizonwireless,wifi,125,SFBay,37.372002352,-122.02120728,31.96
7,45,verizonwireless,wifi,18,SFBay,37.5194887778,-122.2749511111,166.1555555556
3,45,sprint,evdoa,3,SFBay,37.852474,-122.2739,78.4
0,45,sprint,wifi,60,SFBay,37.4905042667,-122.2079816667,176.745
0,45,sprint,evdoa,4,SFBay,37.2479285,-121.87333,53.2
1,45,sprint,wifi,193,SFBay,37.389931544,-122.0807757513,45.725388601
3,45,tmobile,hsdpa,5,SFBay,37.8426894,-122.259148,61.42
1,45,tmobile,wifi,87,SFBay,37.3587807241,-122.016762069,77.567816092
2,45,tmobile,wifi,317,SFBay,37.4217327855,-122.1219047003,111.4639116719
0,45,tmobile,hsdpa,5,SFBay,37.674051,-121.940448,76.72
4,45,sprint,wifi,151,SFBay,37.5429697152,-122.2585880132,26.3397350993
0,45,tmobile,wifi,187,SFBay,37.4024159679,-122.1074321925,86.492513369
0,45,att,wifi,121,SFBay,37.4728162893,-122.1514395868,35.8689256198
4,45,tmobile,wifi,67,SFBay,37.463444,-122.22568,112.228358209
1,45,tmobile,edge,352,SFBay,37.4429618608,-122.1313201136,206.4306818182
5,45,tmobile,wifi,66,SFBay,37.7750127121,-122.4226139394,72.3456060606
4,45,verizonwireless,ehrpd,49,SFBay,37.5304367347,-122.0404844898,69.7653061224
3,45,tmobile,wifi,17,SFBay,37.800694,-121.98144,22.6
3,45,tmobile,edge,38,SFBay,37.8775272895,-122.2665852632,181.6842105263
1,45,tmobile,umts,700,SFBay,37.36483267,-122.0257430857,170.9592857143
0,45,tmobile,umts,60,SFBay,37.4846119833,-122.0397755,142.4766666667
2,45,tmobile,umts,138,SFBay,37.7776636304,-122.4523550725,141.6
2,45,verizonwireless,ehrpd,27,SFBay,37.763647963,-122.4334048148,140.262962963
null,45,,wifi,124,SFBay,37.7002735565,-122.0439029032,28.1998387097
0,49,tmobile,hsdpa,12,SFBay,37.7654728333,-122.0736683333,92.3416666667
2,49,sprint,evdoa,1,SFBay,37.579353,-122.31642,83.1
1,48,sprint,evdoa,27,SFBay,37.4172684815,-122.0616440741,74.7740740741
4,48,verizonwireless,lte,479,SFBay,37.4120341211,-122.0809154906,33.2442588727
3,48,tmobile,wifi,9,SFBay,37.800694,-121.98144,23.2222222222
0,48,verizonwireless,evdoa,2,SFBay,37.584103,-122.36608,71.3
1,48,tmobile,hsdpa,71,SFBay,37.5010450704,-122.182366338,113.0183098592
4,48,sprint,evdoa,124,SFBay,37.7644074758,-122.4220626613,90.7088709677
2,48,tmobile,wifi,55,SFBay,37.4338212364,-122.1265054545,53.8327272727
1,48,att,hsdpa,200,SFBay,37.79213608,-122.42120255,119.731
2,48,tmobile,umts,27,SFBay,37.7840443333,-122.4296303704,177.7111111111
5,48,verizonwireless,lte,188,SFBay,37.4018009468,-122.0081785106,37.4085106383
6,48,sprint,evdoa,8,SFBay,37.390297,-121.8961,86.2125
3,48,att,edge,155,SFBay,37.7190629613,-122.4165041935,213.8677419355
2,48,verizonwireless,lte,88,SFBay,37.5731542727,-122.3116347727,38.5568181818
6,48,verizonwireless,lte,88,SFBay,37.5309169886,-122.0401025,33.4318181818
1,48,verizonwireless,evdoa,544,SFBay,37.4008436912,-122.0597816912,68.8626838235
3,48,verizonwireless,evdoa,21,SFBay,37.5229361905,-122.2766428571,69.1523809524
1,48,att,edge,182,SFBay,37.502159,-122.20866,199.5824175824
1,48,tmobile,edge,29,SFBay,37.4290364828,-122.1455389655,211.8275862069
2,48,att,wifi,48,SFBay,37.502159,-122.20866,172.9333333333
0,48,tmobile,hsdpa,2,SFBay,37.6557155,-122.120665,100.3
4,48,att,edge,158,SFBay,37.8432018734,-122.2403986709,252.5886075949
3,48,tmobile,hsdpa,1,SFBay,37.864586,-122.29658,287
3,48,verizonwireless,ehrpd,21,SFBay,37.4054025714,-122.1101409524,65.0238095238
2,48,verizonwireless,wifi,125,SFBay,37.771717,-122.44389,149.0808
2,48,sprint,wifi,333,SFBay,37.371861,-122.02123,135.9057057057
2,48,verizonwireless,evdoa,134,SFBay,37.7726851269,-122.4099945522,68.6694029851
3,48,sprint,wifi,74,SFBay,37.7766926216,-122.4084043243,144.617027027
4,48,att,wifi,82,SFBay,37.843819,-122.23986,162.2
0,48,tmobile,edge,1,SFBay,37.673725,-122.10078,233
3,48,att,wifi,32,SFBay,37.630489,-122.41109,162.5796875
1,48,tmobile,umts,11,SFBay,37.4060969091,-122.0015518182,200.0909090909
1,48,verizonwireless,wifi,70,SFBay,37.417755,-122.1235,21.3928571429
4,48,tmobile,wifi,13,SFBay,37.463444,-122.22568,208.5230769231
1,48,tmobile,wifi,9,SFBay,37.349209,-122.0326,225.7777777778
5,48,sprint,wifi,10,SFBay,37.885757,-122.11802,129.01
4,48,sprint,wifi,60,SFBay,37.554947,-122.27106,126.7416666667
1,48,sprint,wifi,13,SFBay,37.4188181538,-122.0730376923,334.7692307692
5,48,tmobile,wifi,2,SFBay,37.778687,-122.42124,245
3,48,tmobile,umts,2,SFBay,37.5497835,-122.29611,342.5
4,48,verizonwireless,ehrpd,77,SFBay,37.529659,-122.04024,60.6922077922
1,48,att,wifi,4,SFBay,37.428432,-122.07238,173.0375
7,48,sprint,evdoa,2,SFBay,37.632435,-122.383025,115.25
0,48,tmobile,umts,2,SFBay,37.680557,-122.00698,79.55
2,49,verizonwireless,wifi,219,SFBay,37.7725417945,-122.445273379,121.402739726
3,48,verizonwireless,wifi,5,SFBay,37.630489,-122.41109,231.2
0,48,verizonwireless,ehrpd,23,SFBay,37.5364350435,-122.1605056522,67.3434782609
3,48,tmobile,edge,1,SFBay,37.843819,-122.23986,312
0,48,tmobile,wifi,1,SFBay,37.916134,-122.31077,26
2,48,sprint,evdoa,1,SFBay,37.50716,-122.26052,62.5
2,48,verizonwireless,ehrpd,17,SFBay,37.7733217059,-122.4363947059,75.5529411765
null,48,,evdoa,18,SFBay,37.428432,-122.07238,88.7555555556
1,46,sprint,evdoa,11,SFBay,37.3878962727,-122.0411218182,61.1545454545
2,46,tmobile,wifi,67,SFBay,37.4255835821,-122.1039356716,45.1880597015
2,46,verizonwireless,wifi,392,SFBay,37.7730358929,-122.439917449,139.8168367347
2,46,verizonwireless,ehrpd,53,SFBay,37.7695913019,-122.4415930189,104.1528301887
1,46,tmobile,umts,288,SFBay,37.3914857813,-122.0619359375,139.3329861111
1,46,tmobile,edge,914,SFBay,37.4365072002,-122.1401127024,212.1542669584
5,46,tmobile,wifi,8,SFBay,37.7472935,-122.4293825,98.1
1,46,verizonwireless,wifi,507,SFBay,37.4103961026,-122.1183336095,53.5039447732
4,46,sprint,evdoa,150,SFBay,37.76479306,-122.4263669333,83.566
1,46,tmobile,wifi,18,SFBay,37.3469982778,-122.0280622222,142.1388888889
null,46,,wifi,179,SFBay,37.5621756313,-122.0484678771,29.8586592179
4,46,tmobile,wifi,8,SFBay,37.463444,-122.22568,198.0375
2,46,tmobile,umts,144,SFBay,37.7810535139,-122.4291911111,197.3763888889
4,46,sprint,wifi,61,SFBay,37.5531609344,-122.2692001639,34.4491803279
5,46,sprint,wifi,67,SFBay,37.885757,-122.11802,33.647761194
1,46,sprint,wifi,119,SFBay,37.3834902521,-122.0843457983,28.5756302521
6,46,verizonwireless,wifi,403,SFBay,37.3072378238,-121.9509433251,177.8493796526
0,46,verizonwireless,evdoa,64,SFBay,38.304722,-122.29889,91.4171875
null,46,,evdoa,190,SFBay,37.3427320895,-122.0168078421,97.4252631579
3,46,sprint,wifi,30,SFBay,37.7943577333,-122.4248746667,236.3426666667
0,46,tmobile,wifi,30,SFBay,37.4804166,-122.137616,78.35
4,46,verizonwireless,lte,111,SFBay,37.4246788468,-122.0726367568,48.8936936937
1,46,verizonwireless,evdoa,225,SFBay,37.39958064,-122.0470564,80.0977777778
2,46,sprint,wifi,197,SFBay,37.3675869695,-122.022333401,216.7096446701
0,46,tmobile,umts,43,SFBay,37.736767,-122.1666111628,152.5953488372
5,46,verizonwireless,lte,23,SFBay,37.3811554348,-121.9895317391,54.6086956522
0,46,sprint,evdoa,16,SFBay,37.7283505625,-122.05399875,97.45625
1,46,tmobile,hsdpa,53,SFBay,37.5213140566,-122.1941190566,102.4603773585
3,46,verizonwireless,ehrpd,115,SFBay,37.428333687,-122.0841358261,73.132173913
3,46,verizonwireless,evdoa,2,SFBay,37.5497835,-122.29611,78.7
0,46,tmobile,hsdpa,7,SFBay,37.5865848571,-122.0572842857,53.2285714286
1,47,verizonwireless,evdoa,330,SFBay,37.4048081485,-122.0258834242,68.1557575758
null,47,,1xrtt,1,SFBay,37.805988,-122.40991,371
1,47,tmobile,hsdpa,178,SFBay,37.4820922865,-122.1648120787,112.6449438202
null,47,,evdoa,52,SFBay,37.6876677692,-122.2851871154,108.9769230769
2,47,sprint,wifi,100,SFBay,37.37091933,-122.0215669,156.266
4,47,verizonwireless,lte,125,SFBay,37.425627696,-122.08378752,38.7128
0,47,tmobile,hsdpa,9,SFBay,37.7338248889,-122.01264,80.8
4,47,tmobile,wifi,20,SFBay,37.463444,-122.22568,220.77
1,47,att,edge,222,SFBay,37.5024607883,-122.2092513514,198.536036036
4,47,att,edge,298,SFBay,37.8437797383,-122.2399361409,230.3288590604
1,47,att,hsdpa,83,SFBay,37.7791776024,-122.4205014458,202.6144578313
4,47,verizonwireless,wifi,115,SFBay,37.371861,-122.02123,23.8086956522
1,47,tmobile,wifi,29,SFBay,37.349209,-122.0326,218.5551724138
3,47,tmobile,hsdpa,5,SFBay,37.811612,-122.24383,74.36
0,47,att,hsdpa,170,SFBay,37.7203574471,-122.1280173529,415.2058823529
